id,start_date,name,distance,moving_time,type,average_heartrate,max_heartrate,average_speed,max_speed,total_elevation_gain,start_latlng,end_latlng,weather_icon,weather_summary,weather_temperature
750870934,2016-10-20T18:32:59Z,"Minnie the Moocher ",10.2,5150,Ride,,,7.2,23,144.8,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
751796629,2016-10-21T20:52:32Z,"Chestnut Loop ",10.7,5192,Ride,,,7.4,23.7,108.3,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
752727021,2016-10-22T14:57:21Z,"Narrowback Mountain Loop",20.8,11211,Ride,,,6.7,26.8,229,"[38.37,-79.16]","[38.37,-79.16]",13,14,15
755008525,2016-10-24T21:26:33Z,"Monday Night Ride ",9,4551,Ride,,,7.1,22.6,103.2,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
756948105,2016-10-26T20:59:32Z,"Got a pregame view of the cubs if you know what I mean. ",10.7,4842,Ride,,,8,23.3,136,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
757877158,2016-10-27T20:50:13Z,"RaceFace crank lets us down again!",9.4,4140,Ride,,,8.2,27.1,92,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
758706924,2016-10-28T21:05:43Z,"Tuning the SID",10.8,4268,Ride,,,9.1,30.9,118.4,"[37.26,-79.94]","[37.26,-79.94]",13,14,15
759714280,2016-10-29T14:36:21Z,"Longdale Furnace ",18.1,11869,Ride,,,5.5,32.2,305.9,"[37.79,-79.7]","[37.79,-79.7]",13,14,15
764166817,2016-11-02T21:04:11Z,"Candlers Mountain Recon",9.1,5732,Ride,,,5.7,24.2,176.3,"[37.35,-79.17]","[37.35,-79.17]",13,14,15
767057740,2016-11-05T21:38:06Z,Maverick,14,5621,Ride,,,8.9,37.4,153.7,"[37.26,-79.95]","[37.26,-79.94]",13,14,15
768194915,2016-11-06T17:30:31Z,"Sunday Funday ",17.4,8720,Ride,,,7.2,23.3,233.2,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
769196286,2016-11-07T22:31:19Z,"Black Monday",9.4,4991,Ride,,,6.8,22.6,93.6,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
770953457,2016-11-09T21:28:55Z,"Recon Report: Pirate Trails ",8.2,5224,Ride,,,5.6,22.8,100,"[37.35,-79.17]","[37.35,-79.17]",13,14,15
772662248,2016-11-11T21:16:42Z,"Found my long lost bike ",9.5,5675,Ride,,,6,20.8,129.1,"[37.35,-79.17]","[37.35,-79.17]",13,14,15
773628085,2016-11-12T20:49:53Z,"Roanoke riding > Lynchburg riding ",10.6,4532,Ride,,,8.4,30.6,137.3,"[37.26,-79.94]","[37.26,-79.94]",13,14,15
774713834,2016-11-13T16:16:27Z,"I now know why they call it Fall",18.2,9980,Ride,,,6.6,24.6,273.2,"[37.41,-79.8]","[37.47,-79.7]",13,14,15
775709178,2016-11-14T22:37:03Z,"Super moon. Super clouds.",9.8,5040,Ride,,,7,20.4,105.6,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
777590503,2016-11-16T22:05:16Z,"Imagine if they actually did trail work instead of building this dumb shit",7.2,4969,Ride,,,5.2,21.3,139.8,"[37.35,-79.17]","[37.35,-79.17]",13,14,15
779213654,2016-11-18T22:04:58Z,"The crank strikes again! ",2.3,998,Ride,,,8.2,26.6,17.7,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
780104160,2016-11-19T15:04:44Z,"Kens Birthday ",22.2,11853,Ride,,,6.8,27.1,329.9,"[37.44,-79.79]","[37.44,-79.79]",13,14,15
783786191,2016-11-23T19:21:39Z,"Basic Dody",9,5547,Ride,,,5.8,21.3,149.8,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
786417122,2016-11-26T19:30:11Z,"Quick Mill Mt. rip",10,4501,Ride,,,8,26.2,99.9,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
787476816,2016-11-27T18:22:42Z,"Up trough down the gauntlet ",8.3,4794,Ride,,,6.2,23.9,123.1,"[37.36,-79.99]","[37.36,-79.99]",13,14,15
788441293,2016-11-28T22:32:49Z,"Chestnut Loop",9.7,4495,Ride,,,7.8,28,108.4,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
791786677,2016-12-02T21:53:41Z,"Chestnut Loop ",7.9,4197,Ride,,,6.8,26.4,81.7,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
796430051,2016-12-07T22:08:46Z,"Those skies are gonna clear up, put on your Blackhorse face",4.8,2906,Ride,,,6,18.8,111,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
804887231,2016-12-17T21:45:05Z,"Quick Mill Mt Rip",9.5,3793,Ride,,,9,33.8,111.4,"[37.26,-79.94]","[37.26,-79.94]",13,14,15
807449359,2016-12-20T21:48:49Z,"25 Degrees",6.4,3749,Ride,,,6.2,15.9,40.1,"[37.38,-79.71]","[37.38,-79.71]",13,14,15
808971173,2016-12-22T20:02:23Z,"Big Burlays Revenge",9.2,4180,Ride,,,7.9,22.8,99.9,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
813260879,2016-12-27T21:53:17Z,"Barely beat the sunset ",8.7,3839,Ride,,,8.1,25.1,127.5,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
818084736,2017-01-01T16:22:00Z,"First ride of 2017",21.9,11020,Ride,,,7.1,27.3,220.7,"[37.38,-79.95]","[37.38,-79.95]",13,14,15
820353711,2017-01-03T21:52:48Z,"Fog Machine",8.7,3893,Ride,,,8,23.9,127.6,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
830966023,2017-01-13T22:29:44Z,"Freeing rain?",7.4,3578,Ride,,,7.4,21.9,89.2,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
